time,vehicle,x,y,distance,speed,latency,energy
217,def.8,1275.659333333333,190.99,834.9458554224403,13.9,56.53663459211009,11.307326918422019
217,def.9,1331.259333333333,190.99,886.836658778705,13.9,60.01923884420839,12.003847768841679
218,def.0,816.9593333333338,190.99,442.66285035804776,13.9,30.2089161314126,6.04178322628252
218,def.1,872.5593333333338,190.99,484.0326817000874,13.9,32.9854148792005,6.5970829758401
218,def.2,928.1593333333336,190.99,528.0223431072257,13.9,35.93774114813595,7.18754822962719
218,def.3,983.7593333333335,190.99,574.0298534807325,13.9,39.02549352219681,7.805098704439363
218,def.4,1039.3593333333333,190.99,621.6073282658256,13.9,42.218612635290306,8.443722527058062
218,def.5,1094.9593333333335,190.99,670.4206056054994,13.9,45.49467151714761,9.098934303429521
218,def.6,1150.5593333333331,190.99,720.2184573357662,13.9,48.836809217165516,9.767361843433104
218,def.7,1206.159333333333,190.99,770.8100830644195,13.9,52.23222033989392,10.446444067978785
218,def.8,1261.759333333333,190.99,822.04894137785,13.9,55.67106989113088,11.134213978226176
218,def.9,1317.3593333333329,190.99,873.8211830157875,13.9,59.145716980925336,11.829143396185067
219,def.0,803.0593333333338,190.99,432.81883002065047,13.9,29.54824362554701,5.9096487251094025
219,def.1,858.6593333333337,190.99,473.41704393389915,13.9,32.272955968718065,6.454591193743614
219,def.2,914.2593333333336,190.99,516.8152236087652,13.9,35.185585477098336,7.037117095419667
219,def.3,969.8593333333336,190.99,562.3655156750319,13.9,38.242652058726975,7.648530411745395
219,def.4,1025.4593333333335,190.99,609.5856716550277,13.9,41.41179004396159,8.282358008792318
219,def.5,1081.0593333333334,190.99,658.116349100809,13.9,44.668882489987176,8.933776497997435
219,def.6,1136.6593333333333,190.99,707.6879869126255,13.9,47.99583804782721,9.599167609565443
219,def.7,1192.2593333333332,190.99,758.0964085702497,13.9,51.37895359531877,10.275790719063755
219,def.8,1247.859333333333,190.99,809.1852461295729,13.9,54.80773463956865,10.96154692791373
219,def.9,1303.459333333333,190.99,860.8333639099055,13.9,58.27405126912117,11.654810253824236
220,def.0,789.1593333333338,190.99,423.20243401211445,13.9,28.902847920276137,5.780569584055228
220,def.1,844.7593333333338,190.99,462.9753535777523,13.9,31.5721713810572,6.31443427621144
220,def.2,900.3593333333336,190.99,505.7418075333611,13.9,34.442403190158466,6.888480638031694
220,def.3,955.9593333333336,190.99,550.8049507346299,13.9,37.46677521708925,7.49335504341785
220,def.4,1011.5593333333335,190.99,597.6454899189356,13.9,40.610435565029235,8.122087113005847
220,def.5,1067.1593333333335,190.99,645.876837707555,13.9,43.84743877231912,8.769487754463825
220,def.6,1122.7593333333334,190.99,695.2095851998719,13.9,47.15836142281019,9.431672284562039
220,def.7,1178.3593333333333,190.99,745.425090281005,13.9,50.52852954906074,10.10570590981215
220,def.8,1233.9593333333332,190.99,796.3563794477387,13.9,53.946736875687165,10.789347375137433
220,def.9,1289.5593333333331,190.99,847.8744724036557,13.9,57.404327006956755,11.480865401391352
221,def.0,775.259333333334,190.99,413.82953095098406,13.9,28.273794023555975,5.654758804711196
221,def.1,830.8593333333338,190.99,452.7196467503681,13.9,30.883868909420677,6.176773781884136
221,def.2,886.4593333333337,190.99,494.8110714408528,13.9,33.70879674099683,6.741759348199366
221,def.3,942.0593333333336,190.99,539.3548315229144,13.9,36.69831084046405,7.339662168092811
221,def.4,997.6593333333336,190.99,585.7917651809199,13.9,39.814883569189256,7.962976713837851
221,def.5,1053.2593333333334,190.99,633.7058229339892,13.9,43.03059214322075,8.60611842864415
221,def.6,1108.8593333333333,190.99,682.7861069816163,13.9,46.32457093836351,9.264914187672701
221,def.7,1164.4593333333332,190.99,732.7983254305223,13.9,49.681095666478,9.936219133295602
221,def.8,1220.0593333333331,190.99,783.5640520215588,13.9,53.088191410842875,10.617638282168576
221,def.9,1275.659333333333,190.99,834.9458554224403,13.9,56.53663459211009,11.307326918422019
222,def.0,761.3593333333339,190.99,404.71703846075565,13.9,27.662217346359437,5.532443469271888
222,def.1,816.9593333333338,190.99,442.66285035804776,13.9,30.2089161314126,6.04178322628252
222,def.2,872.5593333333338,190.99,484.0326817000874,13.9,32.9854148792005,6.5970829758401
222,def.3,928.1593333333336,190.99,528.0223431072257,13.9,35.93774114813595,7.18754822962719
222,def.4,983.7593333333335,190.99,574.0298534807325,13.9,39.02549352219681,7.805098704439363
222,def.5,1039.3593333333333,190.99,621.6073282658256,13.9,42.218612635290306,8.443722527058062
222,def.6,1094.9593333333335,190.99,670.4206056054994,13.9,45.49467151714761,9.098934303429521
222,def.7,1150.5593333333331,190.99,720.2184573357662,13.9,48.836809217165516,9.767361843433104
222,def.8,1206.159333333333,190.99,770.8100830644195,13.9,52.23222033989392,10.446444067978785
222,def.9,1261.759333333333,190.99,822.04894137785,13.9,55.67106989113088,11.134213978226176
223,def.0,747.4593333333339,190.99,395.8829394578378,13.9,27.069324795828038,5.413864959165608
223,def.1,803.0593333333338,190.99,432.81883002065047,13.9,29.54824362554701,5.9096487251094025
223,def.2,858.6593333333337,190.99,473.41704393389915,13.9,32.272955968718065,6.454591193743614
223,def.3,914.2593333333336,190.99,516.8152236087652,13.9,35.185585477098336,7.037117095419667
223,def.4,969.8593333333336,190.99,562.3655156750319,13.9,38.242652058726975,7.648530411745395
223,def.5,1025.4593333333335,190.99,609.5856716550277,13.9,41.41179004396159,8.282358008792318
223,def.6,1081.0593333333334,190.99,658.116349100809,13.9,44.668882489987176,8.933776497997435
223,def.7,1136.6593333333333,190.99,707.6879869126255,13.9,47.99583804782721,9.599167609565443
223,def.8,1192.2593333333332,190.99,758.0964085702497,13.9,51.37895359531877,10.275790719063755
223,def.9,1247.859333333333,190.99,809.1852461295729,13.9,54.80773463956865,10.96154692791373
224,def.0,733.5593333333339,190.99,387.3462821392654,13.9,26.496394774447342,5.299278954889469
224,def.1,789.1593333333338,190.99,423.20243401211445,13.9,28.902847920276137,5.780569584055228
