d_timestamp,container_id,d_cpu(proc),d_memory_usage(max_128),d_net_io,io,pid,t_timestamp,t_ram(max_3964MB),t_swap(max_1982MB),t_cpu(arr[4]),t_cpu_temp,thermal,pom_5v_in,pom_5v_cpu
2025-03-16 02:40:27,20b09d247631,26.45,50.15,4.08MB / 22.9,73.4 / 0B,16,2025-03-16 02:40:28,2023,37,"[17%@921,15%@921,12%@921,9%@921]",27.5,27,1684,469
2025-03-16 02:40:30,20b09d247631,25.69,55.7,5.13MB / 33.9,78.7 / 0B,28,2025-03-16 02:40:31,2033,37,"[17%@921,10%@921,12%@921,13%@921]",27.5,26.75,1912,546
2025-03-16 02:40:32,20b09d247631,27.36,57.84,5.18MB / 37.5,81.1 / 0B,27,2025-03-16 02:40:33,2030,37,"[14%@403,21%@403,16%@403,12%@403]",27.5,26.75,1414,430
2025-03-16 02:40:35,20b09d247631,25.65,58.47,5.67MB / 41.7,81.1 / 0B,27,2025-03-16 02:40:36,2032,37,"[19%@1132,17%@1132,12%@1132,12%@1132]",27.5,27,1605,509
2025-03-16 02:40:38,20b09d247631,25.60,58.91,5.7MB / 78,81.3 / 0B,27,2025-03-16 02:40:39,2031,37,"[21%@614,15%@614,16%@614,10%@614]",27,27.25,1336,470
2025-03-16 02:40:40,20b09d247631,25.46,58.8,5.75MB / 299,81.3 / 0B,27,2025-03-16 02:40:41,2033,37,"[30%@403,16%@403,12%@614,14%@614]",27.5,27.25,1530,470
2025-03-16 02:40:43,20b09d247631,25.17,59.02,6.86MB / 1.62MB,81.3 / 0B,27,2025-03-16 02:40:44,2029,37,"[18%@1479,15%@1479,12%@1479,12%@1479]",27.5,27,1605,547
2025-03-16 02:40:45,20b09d247631,25.30,59.9,7.97MB / 3.12MB,81.3 / 0B,27,2025-03-16 02:40:46,2034,37,"[17%@1036,21%@1036,10%@1036,14%@1036]",27.5,27.25,1759,507
2025-03-16 02:45:34,34fa6c934d4c,20.79,13.65,1.17 / 0B,36.3 / 0B,8,2025-03-16 02:45:35,1990,37,"[31%@1036,17%@1036,15%@1036,16%@1036]",27.5,27.25,2486,699
2025-03-16 02:45:36,34fa6c934d4c,25.84,21.62,2.16 / 0B,41.3 / 0B,10,2025-03-16 02:45:38,1998,37,"[23%@1479,15%@1479,12%@1479,5%@1479]",27.5,27,1608,391
2025-03-16 02:45:39,34fa6c934d4c,26.02,25.64,2.36 / 0B,41.3 / 0B,10,2025-03-16 02:45:40,2002,37,"[27%@307,15%@307,14%@307,6%@307]",27,27,1220,392
2025-03-16 02:45:42,34fa6c934d4c,28.24,28.01,2.36 / 0B,46.4 / 0B,10,2025-03-16 02:45:43,2003,37,"[16%@614,22%@614,9%@614,10%@614]",27,26.75,1490,391
2025-03-16 02:45:44,34fa6c934d4c,25.08,31.04,2.36 / 0B,51.4 / 0B,10,2025-03-16 02:45:45,2004,37,"[27%@614,19%@614,20%@614,22%@614]",28,26.5,1916,468
2025-03-16 02:45:47,34fa6c934d4c,24.98,32.34,2.36 / 0B,54.3 / 0B,10,2025-03-16 02:45:48,2009,37,"[16%@1479,15%@1479,12%@1479,13%@1479]",27,27,1717,857
2025-03-16 02:45:49,34fa6c934d4c,24.91,33.2,2.36 / 0B,54.3 / 0B,10,2025-03-16 02:45:51,2011,37,"[20%@1479,13%@1479,10%@1479,12%@1479]",27.5,27,1876,546
2025-03-16 02:45:52,34fa6c934d4c,24.94,35.82,2.36 / 0B,65.5 / 0B,10,2025-03-16 02:45:53,2010,37,"[19%@403,20%@614,9%@614,11%@614]",27,26.75,1605,430
2025-03-16 02:45:55,34fa6c934d4c,24.84,37.77,2.36 / 0B,66.5 / 0B,10,2025-03-16 02:45:56,2012,37,"[22%@710,10%@710,14%@710,10%@710]",27,26.75,1684,663
2025-03-16 02:45:57,34fa6c934d4c,25.06,39.3,2.36 / 0B,66.8 / 0B,10,2025-03-16 02:45:58,2014,37,"[21%@1224,13%@1224,11%@1224,13%@1224]",27,26.75,1952,546
2025-03-16 02:46:00,34fa6c934d4c,3.49,40.18,2.36 / 0B,72.5 / 0B,10,2025-03-16 02:46:01,2018,37,"[13%@825,12%@825,8%@825,10%@825]",27.5,27,2221,739
2025-03-16 02:46:02,34fa6c934d4c,25.88,43.05,4.09MB / 18.1,72.6 / 0B,16,2025-03-16 02:46:03,2018,37,"[23%@307,12%@307,18%@307,5%@307]",27,26.5,1220,351
2025-03-16 02:46:05,34fa6c934d4c,25.84,45.55,4.09MB / 18.1,72.6 / 0B,16,2025-03-16 02:46:06,2020,37,"[22%@1479,10%@1479,10%@1479,19%@1479]",27,26.5,1876,469
2025-03-16 02:46:08,34fa6c934d4c,25.28,50.55,4.09MB / 18.1,72.9 / 0B,16,2025-03-16 02:46:09,2023,37,"[19%@825,6%@825,17%@825,9%@825]",27,26.75,1798,391
2025-03-16 02:46:10,34fa6c934d4c,25.99,54.14,4.36MB / 20.1,75.1 / 0B,16,2025-03-16 02:46:11,2026,37,"[15%@204,23%@204,15%@204,8%@204]",27.5,26.75,1723,469
2025-03-16 02:46:13,34fa6c934d4c,25.63,60.65,4.62MB / 24.9,80.8 / 0B,28,2025-03-16 02:46:14,2028,37,"[14%@518,11%@518,17%@518,13%@518]",27.5,26.75,1684,391
2025-03-16 02:46:15,34fa6c934d4c,25.24,61.09,4.64MB / 85.3,80.8 / 0B,28,2025-03-16 02:46:16,2030,37,"[22%@1479,22%@1479,15%@1479,7%@1479]",27,27,1569,353
2025-03-16 02:46:18,34fa6c934d4c,25.21,62.08,5.57MB / 617,80.8 / 0B,28,2025-03-16 02:46:19,2030,37,"[15%@403,16%@403,14%@403,13%@403]",27,26.75,1375,391
2025-03-16 02:46:21,34fa6c934d4c,25.70,62.11,5.75MB / 707,80.8 / 0B,28,2025-03-16 02:46:21,2030,37,"[21%@825,11%@825,17%@825,20%@825]",27.5,26.5,1605,469
2025-03-16 02:46:23,34fa6c934d4c,24.62,62,5.81MB / 1.08MB,80.8 / 0B,28,2025-03-16 02:46:24,2031,37,"[19%@825,15%@825,14%@825,15%@825]",27.5,27.25,1605,469
2025-03-16 02:46:26,34fa6c934d4c,25.05,62.31,6.39MB / 1.99MB,80.8 / 0B,28,2025-03-16 02:46:27,2031,37,"[19%@614,16%@614,17%@614,9%@614]",27,26.75,1645,469
2025-03-16 02:46:28,34fa6c934d4c,25.66,64.43,7.99MB / 2.44MB,80.8 / 0B,28,2025-03-16 02:46:29,2033,37,"[17%@307,18%@307,16%@307,10%@307]",27,26.75,1373,391
